index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
997,true,fae48449-451a-4d3c-b2fd-fc9102913b95,"Transformation, to unspecified, natural",Ecosystem Services,m2,product,,,
998,false,28f62930-142e-35d7-95ff-e07e377f6e00,Sodium,Elementary flows/emission/water/fresh water body,kg,elementary,,,
999,false,2efb3ae8-da16-37af-b8aa-621b50787f67,Ethanolamine,Elementary flows/emission/air,kg,elementary,,,
1000,false,fc31e7a4-0278-3fc6-8f64-dce319f1abb0,Sodium sulfate,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1001,false,3831c7d8-e159-3174-82a3-44907650d19a,Ruthenium-106,Elementary flows/emission/water/saline water body/ocean,kBq,elementary,,,
1002,false,5574de2a-d2e5-3fd5-b9d6-dc39e34c66ea,cis-2-Pentene,Elementary flows/emission/air,kg,elementary,,,
1003,false,39596c10-bdd2-34d4-a634-775fe8195425,Chemical Oxygen Demand,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1004,false,96cf3cd3-7feb-3c22-9e05-955ca598b32c,Cobalt-57,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
1005,false,34326fe9-f82b-30d3-8be6-5bbc0ad8ec93,Hydrocarbons,Elementary flows/emission/ground/human-dominated/agricultural,kg,elementary,,,
1006,false,0f66c76c-a738-34d2-9f22-c9b815fe429a,Methomyl,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1007,true,9089d7ad-09b1-4174-a188-8844ebde2d5d,"Transformation, to shrub land, sclerophyllous",Ecosystem Services,m2,product,,,
1008,false,da3e01c8-7dec-3bce-97d7-a2a787b9bd79,Acetone,Elementary flows/emission/air,kg,elementary,,,
1009,true,347eca0e-b435-30d0-8e8c-02dd23cb9694,Titanium,Elementary flows/resource/ground,kg,elementary,,,
1010,false,1897b106-f879-3b9e-b44d-b5bf29d9d6e5,Nonane,Elementary flows/emission/air,kg,elementary,,,
1011,false,8f6e0975-9a80-3709-8ee7-1e4c0a9c9e1c,Cumene,Elementary flows/emission/air,kg,elementary,,,
1012,false,13eac271-a257-3845-8e89-b33d8807492a,Naphthalene,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1013,false,33572dab-46b2-3cdb-9b48-2bd4b9fafabf,Hydrochloric acid,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1014,false,a7d5552f-3550-3c4f-82a7-06a802c9a638,Organic compounds,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1015,false,05e79550-9068-3d69-b2f8-b5a97927afaa,Carbofuran,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1016,false,0c146e67-2bc8-33b1-b8ad-a1ed2aab88e4,Manganese-54,Elementary flows/emission/air,kBq,elementary,,,
1017,false,c65748fb-c592-3ab2-abc6-39f611a7f7c7,Copper,Elementary flows/emission/ground/human-dominated/industrial,kg,elementary,,,
